recipe_slug	score_bound
falafel	2.1009145933781985
spamburger	2.860830220951722
bacon-fried-rice	2.813360690939972
chicken-fingers	2.7481020367535396
apple-crisp	2.8046628703134546
cranberry-apple-crisp	2.7782444053912734
bacon-chocolate-chip-cookies	2.701267775264708
sujebi	2.3560965952359347
pasta-primavera	1.8716300318341437
ramen	2.890547003591053
brownies	2.683133483097359
bacon-wrapped-scallops	2.789769839461812
bacon-egg-muffins	2.654314596292523
breakfast-burritos	2.5297471472144375
bolognese-sauce	2.5091599552966173
croissants	1.8519117416089093
bacon-souffle	1.710660806614814
souffle	1.7330121718324123
chocolate-souffle	1.7241546749477732
butter-croissants	1.554877262093301
pickled-green-beans	2.2884587863622574
fried-oysters	2.687106463432874
peanut-butter-brownies	2.4818350264742977
almond-chip-cookies	2.595515831132435
guacamole	2.580215526920055
brioche-bread	2.3130975535429057
brioche-bread-with-chocolate	2.120730160044114
asparagus-quiche	2.0751210909082096
asparagus-burger	2.809621435315786
ma-la-chicken	2.8230515661528592
cold-noodles-with-tomatoes	2.169272106477889
tamales	2.3716470450364824
enchiladas	2.524430765069199
tacos	2.1113955380227054
burritos	2.4695235085128013
peanut-butter-cupcakes	2.47802882590973
pickled-asparagus	2.288644151704472
chocolate-peanut-butter-cake	2.067287860162947
udon	2.23686899578453
vegetable-lasagna	2.3022997292013194
maple-bacon-donuts	2.7443043481659517
maple-bacon-pancakes	2.63526931058399
spinach-and-ricotta-stuffed-shells	2.0301747412715763
quesadillas	2.1271603827119394
pico-de-gallo	2.218823190430028
nachos	2.2826537076207276
cold-soba-noodles-with-tomato-and-cucumber	2.2526887345772684
fajitas	2.124846558775566
loaded-nachos	2.2654249403001674
lasagna	2.552501969368393
chicken-nuggets	2.798324871634129
pain-au-chocolat	2.591840312952912
nacho-dip	2.0433720132957514
nacho-salad	1.8384983767212477
nacho-casserole	2.0509022018634493
nacho-fries	2.1036555183202625
tempura-udon	2.5302395254812353
peach-crisp	2.636231575890427
apple-pie	2.124305137782194
blueberry-crisp	2.5519902445335143
berry-crumble	2.121112766952935
strawberry-rhubarb-crisp	2.837135485152219
peach-cobbler	2.482313226728422
cranberry-sauce	2.08893834157407
cherry-cobbler	2.3978441056265076
apple-crumble	2.625223923752992
chocolate-croissants	1.712880410283591
french-toast	2.054048830958198
chocolate-babka	2.336217635199484
cinnamon-babka	1.943072870086084
blueberry-crumble	2.2753245440928698
spam-musubi	2.5750344112432697
taco-salad	1.88621328595224
chiles-rellenos	2.2710401658654145
almond-croissants	1.7356098954430055
cranberry-relish	2.2556050082407353
ma-la-beef	2.116709352240867
chocolate-cake	2.1506989723381693
spinach-quiche	2.0419316091064
mushroom-quiche	2.3520447786458982
quiche-lorraine	2.304681589002079
croissant-aux-amandes	1.923170911611064
danishes	2.0899881525850414
spinach-and-feta-quiche	2.398129368857318
cold-sesame-noodles	2.0728537364013713
soba-noodle-salad-with-peanut-dressing	1.8668421934655561
dan-dan-noodles	2.3953797543497655
vanilla-souffle	2.244376750131954
bacon-wrapped-dates	2.6763816436417565
cherry-pie	2.2728074247031618
berry-crisp	2.607384962739863
bacon-and-egg-breakfast-sandwich	2.6887118968635555
bacon-wrapped-shrimp-skewers	2.812945309969721
bacon-wrapped-chicken	2.8527844827172135
bacon-wrapped-asparagus	2.7813377030835937
bacon-mac-and-cheese	2.822066698202311
chicken-alfredo-lasagna	2.7523953042586458
classic-beef-lasagna	2.651541783491245
vegetarian-mushroom-lasagna	2.5237456065949178
spinach-and-ricotta-lasagna	2.617829365532131
