recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.75
ma-la-chicken	7.242588778272628	1.0
quesadillas	7.299422208549347	0.25
ramen	7.288982258062821	1.0
bacon-fried-rice	7.04227297169429	1.0
chocolate-babka	7.043615144507205	0.5
pain-au-chocolat	7.009573054272543	0.75
spamburger	7.016302257158001	1.0
nacho-fries	6.832006118065309	0.25
cranberry-sauce	6.774718376046021	0.25
asparagus-burger	6.747791930098778	1.0
mushroom-quiche	6.622053620163962	0.5
bacon-wrapped-chicken	6.556857308044274	1.0
guacamole	6.549918944226699	0.75
strawberry-rhubarb-crisp	6.447523780033845	1.0
dan-dan-noodles	6.436226071785838	0.5
cold-noodles-with-tomatoes	6.402114386998587	0.25
bacon-wrapped-asparagus	6.369908024338144	1.0
apple-pie	6.374721500507996	0.25
brioche-bread	6.291648675199116	0.5
apple-crisp	6.151571068337315	1.0
asparagus-quiche	6.119293825234067	0.25
tamales	6.102540984229513	0.5
bacon-mac-and-cheese	5.9740113582352095	1.0
taco-salad	5.985767209203639	0.0
chicken-nuggets	5.960946939362882	1.0
spam-musubi	5.81168524905007	0.75
croissants	5.74996077991128	0.0
bacon-wrapped-shrimp-skewers	5.731435863117175	1.0
sujebi	5.73141928925412	0.5
tacos	5.632536428878966	0.25
breakfast-burritos	5.595779552691323	0.75
chocolate-peanut-butter-cake	5.5455510172492355	0.25
cranberry-apple-crisp	5.53616898488991	1.0
fajitas	5.475906100717338	0.25
croissant-aux-amandes	5.458266894171973	0.0
peach-crisp	5.359530184240196	1.0
spinach-and-ricotta-lasagna	5.282256608602371	1.0
bacon-wrapped-scallops	5.245148622765404	1.0
enchiladas	5.225254244328344	0.75
quiche-lorraine	5.223720090999525	0.5
soba-noodle-salad-with-peanut-dressing	5.207974655267782	0.0
souffle	5.1692726679721295	0.0
danishes	5.117386421342868	0.25
brownies	5.039752722434642	1.0
nachos	5.029146633750166	0.5
vanilla-souffle	5.010723211358933	0.5
loaded-nachos	4.996738375228595	0.5
nacho-salad	4.989481388152157	0.0
chicken-fingers	4.921719179840951	1.0
falafel	4.893084420443913	0.25
ma-la-beef	4.857363026749857	0.25
chicken-alfredo-lasagna	4.847786659699284	1.0
bacon-egg-muffins	4.838474532744593	1.0
bolognese-sauce	4.836982537194643	0.75
cherry-pie	4.823330007727566	0.5
maple-bacon-donuts	4.810441165604763	1.0
spinach-quiche	4.791635919367069	0.25
pickled-green-beans	4.775693148139173	0.5
tempura-udon	4.748970367266	0.75
cold-sesame-noodles	4.6273950084346716	0.25
burritos	4.614741271999567	0.75
bacon-and-egg-breakfast-sandwich	4.5979507306062075	1.0
bacon-wrapped-dates	4.611930724776436	1.0
chiles-rellenos	4.6018222691114845	0.5
bacon-chocolate-chip-cookies	4.566201258829023	1.0
peanut-butter-cupcakes	4.540066300280971	0.75
berry-crisp	4.507603921469337	1.0
brioche-bread-with-chocolate	4.488841987024006	0.5
peach-cobbler	4.44884341552818	0.75
fried-oysters	4.446758507884111	1.0
classic-beef-lasagna	4.452142893751404	1.0
maple-bacon-pancakes	4.432396943503896	1.0
cranberry-relish	4.417314071221312	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.343117050968127	0.5
pickled-asparagus	4.3275484958552095	0.5
french-toast	4.2911735567898095	0.25
nacho-casserole	4.223323634898983	0.25
udon	4.2064396639040185	0.5
pasta-primavera	4.16901149479493	0.0
spinach-and-feta-quiche	4.0959738477493355	0.75
almond-chip-cookies	4.074597789054485	1.0
pico-de-gallo	4.040559525977676	0.5
nacho-dip	4.008946662270765	0.25
almond-croissants	4.008395796614319	0.0
blueberry-crisp	3.9331585501042308	1.0
lasagna	3.818802413034351	1.0
cherry-cobbler	3.7700041871715433	0.75
vegetarian-mushroom-lasagna	3.6712941703976005	1.0
chocolate-cake	3.6374185947534454	0.5
peanut-butter-brownies	3.5799727063847535	1.0
chocolate-croissants	3.51693529523065	0.0
blueberry-crumble	3.4857292829674353	0.75
spinach-and-ricotta-stuffed-shells	3.383860242275415	0.25
cinnamon-babka	3.2328670662690713	0.25
berry-crumble	3.0884578792853445	0.5
chocolate-souffle	2.978116900256728	0.0
bacon-souffle	2.8713407137553792	0.0
vegetable-lasagna	2.801187505479503	1.0
butter-croissants	2.4238236014785524	0.0
